"","FIPS","ISO2","ISO3","UN","NAME","AREA","POP2005","REGION","SUBREGION","LON","LAT","GDESC","GVALUE","GYEAR"
"18731","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," ISIDORE OF SEVILLE ",70,448
"18732","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," ISIDORE THE FARMER ",70,60
"5062","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," ITA ",93,411
"206144","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," IVES ",302,NA
"206145","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," JAMBERT JAENBEORHT ",302,556
"809","HU","HU","HUN",348,"Hungary",9210,10086387,150,151,19.134,47.07," JAMES OF THE MARCHES ",25,154
"8550","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," JAMES THE DEACON ",87,476
"206146","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," JAMES THE DEACON ",302,476
"18733","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," JAMES THE GREAT ",70,366
"206147","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," JAMES THE GREAT ",302,366
"206148","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," JAMES THE LESS ",302,6
"8551","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," JEROME HIERONYMUS ",87,359
"1386",NA,"PS","PSE",275,"Palestine",0,3762005,142,145,35.278,32.037," JEROME HIERONYMUS ",16,359
"206149","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," JOACHIM ",302,6
"6473","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," JOACHIM ",134,6
"6474","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," JOAN OF ARC ",134,145
"206150","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," JOAN OF ARC ",302,145
"206151","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," JOAVAN ",302,407
"232","CA","CA","CAN",124,"Canada",909351,32270507,19,21,-109.433,59.081," JOGUES ISAAC ",4,213
"6475","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," JOGUES ISAAC ",134,213
"206152","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," JOHN THE APOSTLE ",302,7
"1191","MX","MX","MEX",484,"Mexico",190869,104266392,19,13,-102.535,23.951," JOHN OF AVILA ",5,172
"206153","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," JOHN THE BAPTIST ",302,324
"18734","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," JOHN BAPTIST OF THE CONCEPTION ",70,196
"8552","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," JOHN OF CAPISTRANO ",87,150
"5616","AU","AT","AUT",40,"Austria",8245,8291979,150,155,14.912,47.683," JOHN OF CAPISTRANO ",24,150
"8010","HU","HU","HUN",348,"Hungary",9210,10086387,150,151,19.134,47.07," JOHN OF CAPISTRANO ",25,150
"46","AM","AM","ARM",51,"Armenia",2820,3017661,142,145,44.563,40.534," JOHN CHRYSOSTOM ",7,357
"1387",NA,"PS","PSE",275,"Palestine",0,3762005,142,145,35.278,32.037," JOHN CLIMACUS ",16,457
"18735","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," JOHN JOSEPH OF THE CROSS ",70,234
"1657","PO","PT","PRT",620,"Portugal",9150,10528226,150,39,-8.058,40.309," JOHN OF GOD ",15,167
"18736","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," JOHN OF GOD ",70,167
"8011","HU","HU","HUN",348,"Hungary",9210,10086387,150,151,19.134,47.07," JOHN OF GOD ",25,167
"1638","PL","PL","POL",616,"Poland",30629,38195558,150,151,19.401,52.125," JOHN OF KANTI ",17,153
"18737","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," JOHN OF SAHAGUN OF SAINT FACUNDO ",70,155
"497","EG","EG","EGY",818,"Egypt",99545,72849793,2,15,29.872,26.494," JOHN THE ALMSGIVER ",26,437
"431","CY","CY","CYP",196,"Cyprus",924,836321,142,145,33.219,35.043," JOHN THE ALMSGIVER ",3,437
"8012","HU","HU","HUN",348,"Hungary",9210,10086387,150,151,19.134,47.07," JOHN THE ALMSGIVER ",25,437
"498","EG","EG","EGY",818,"Egypt",99545,72849793,2,15,29.872,26.494," JOHN THE DWARF ",26,369
"432","CY","CY","CYP",196,"Cyprus",924,836321,142,145,33.219,35.043," JOHN THE DWARF ",3,369
"8013","HU","HU","HUN",348,"Hungary",9210,10086387,150,151,19.134,47.07," JOHN THE DWARF ",25,369
"499","EG","EG","EGY",818,"Egypt",99545,72849793,2,15,29.872,26.494," JOHN THE SAGE ",26,NA
"433","CY","CY","CYP",196,"Cyprus",924,836321,142,145,33.219,35.043," JOHN THE SAGE ",3,NA
"8014","HU","HU","HUN",348,"Hungary",9210,10086387,150,151,19.134,47.07," JOHN THE SAGE ",25,NA
