"","FIPS","ISO2","ISO3","UN","NAME","AREA","POP2005","REGION","SUBREGION","LON","LAT","GDESC","GVALUE","GYEAR"
"7139","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," LULL ",65,551
"206187","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," LULL ",302,551
"206188","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," LUPUS OF TROYES ",302,376
"205","UG","UG","UGA",800,"Uganda",19710,28947181,2,14,32.386,1.28," LWANGA CHARLES AND COMPANIONS ",1,276
"5068","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," MACANISIUS OENGUS MAC NISSE ",93,384
"4911","EG","EG","EGY",818,"Egypt",99545,72849793,2,15,29.872,26.494," MACARIUS THE GREAT OF EGYPT ",26,352
"5069","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," MACHALUS MAGHOR MAUGHOLD ",93,380
"5070","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," MACHAN MANCHAN ",93,402
"161","PE","PE","PER",604,"Peru",128000,27274266,19,5,-75.552,-9.326," MACIAS JOHN ",7,212
"1611","PE","PE","PER",604,"Peru",128000,27274266,19,5,-75.552,-9.326," MACRINA THE ELDER ",7,338
"5071","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," MAEDOC AEDH AIDAN OF FERNS ",93,440
"5072","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," MAELRUAIN ",93,556
"5073","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," MAELRUBBA MALRUBIUS ",93,516
"1659","PO","PT","PRT",620,"Portugal",9150,10528226,150,39,-8.058,40.309," MAFALDA OF PORTUGAL ",15,110
"1192","MX","MX","MEX",484,"Mexico",190869,104266392,19,13,-102.535,23.951," COMPANIONS ",5,292
"15411","NO","NO","NOR",578,"Norway",30625,4638836,150,154,8.74,61.152," MAGNUS ",18,55
"206189","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," MAGNUS ",302,55
"6491","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," MAIEUL ",134,616
"5074","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," MALACHY MAOL MAEDOC ",93,67
"206190","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," MALO MACHUTUS MACLOU ",302,423
"18743","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," MARCELLUS THE CENTURION ",70,322
"6492","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," MARCOUL MARCULF ",134,404
"206191","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," MARGARET MARINA OF ANTIOCH ",302,NA
"8558","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," MARGARET OF CORTONA ",87,608
"8016","HU","HU","HUN",348,"Hungary",9210,10086387,150,151,19.134,47.07," MARGARET OF HUNGARY ",25,113
"8017","HU","HU","HUN",348,"Hungary",9210,10086387,150,151,19.134,47.07," MARGARET OF SCOTLAND ",25,47
"8018","HU","HU","HUN",348,"Hungary",9210,10086387,150,151,19.134,47.07," MARIAN AND JAMES ",25,312
"8019","HU","HU","HUN",348,"Hungary",9210,10086387,150,151,19.134,47.07," MARTIN OF BRAGA ",25,416
"18744","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," MARTIN OF BRAGA ",70,416
"16510","PO","PT","PRT",620,"Portugal",9150,10528226,150,39,-8.058,40.309," MARTIN OF BRAGA ",15,416
"8020","HU","HU","HUN",348,"Hungary",9210,10086387,150,151,19.134,47.07," MARTIN OF TOURS ",25,354
"18745","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," MARTIN OF TOURS ",70,354
"6493","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," MARTIN OF TOURS ",134,354
"7140","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," MARTIN OF TOURS ",65,354
"206192","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," MARTIN OF TOURS ",302,354
"206193","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," MARTIN I ",302,462
"18746","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," MARTIN I ",70,462
"295","CH","CN","CHN",156,"China",932743,1312978855,142,30,106.514,33.42," MARTYRS OF CHINA ",12,NA
"296","CH","CN","CHN",156,"China",932743,1312978855,142,30,106.514,33.42," MARTYRS OF ROME ",12,NA
"206194","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," MARTYRS OF THE SPANISH CIVIL WAR ",302,294
"206195","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," MARY THE BLESSED VIRGIN ",302,6
"6494","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," MARY THE BLESSED VIRGIN ",134,6
"16511","PO","PT","PRT",620,"Portugal",9150,10528226,150,39,-8.058,40.309," MARY THE BLESSED VIRGIN ",15,6
"16312","PL","PL","POL",616,"Poland",30629,38195558,150,151,19.401,52.125," MARY THE BLESSED VIRGIN ",17,6
"1193","MX","MX","MEX",484,"Mexico",190869,104266392,19,13,-102.535,23.951," MARY THE BLESSED VIRGIN ",5,6
"206196","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," MARY MAGDALENE ",302,6
"1389",NA,"PS","PSE",275,"Palestine",0,3762005,142,145,35.278,32.037," MARY MAGDALENE ",16,6
"13810",NA,"PS","PSE",275,"Palestine",0,3762005,142,145,35.278,32.037," MARY OF EGYPT ",16,369
"555","ET","ET","ETH",231,"Ethiopia",100000,78985857,2,14,39.616,8.626," MATTHEW ",7,6
"556","ET","ET","ETH",231,"Ethiopia",100000,78985857,2,14,39.616,8.626," MATTHIAS ",7,6
"4912","EG","EG","EGY",818,"Egypt",99545,72849793,2,15,29.872,26.494," MAURICE AND COMPANIONS ",26,318
"206197","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," MAWES MAUDEZ ",302,369
"10211","AG","DZ","DZA",12,"Algeria",238174,32854159,2,15,2.632,28.163," MAXIMILIAN ",4,320
"10221","AG","DZ","DZA",12,"Algeria",238174,32854159,2,15,2.632,28.163," MAXIMUS OF TURIN ",4,358
"206198","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," MAYNE CUTHBERT ",302,174
"233","CA","CA","CAN",124,"Canada",909351,32270507,19,21,-109.433,59.081," MAZENOD CHARLES DE ",4,265
"8559","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," MAZENOD CHARLES DE ",87,265
"179","SF","ZA","ZAF",710,"South Africa",121447,47938663,2,18,23.121,-30.558," MAZENOD CHARLES DE ",1,265
"7","AR","AR","ARG",32,"Argentina",273669,38747148,19,5,-65.167,-35.377," MAZZARELLO ",3,274
"7141","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," MEINHARD OF LATVIA ",65,90
"1744","RS","RU","RUS",643,"Russia",1638094,143953092,150,151,96.689,61.988," MEINHARD OF LATVIA ",13,90
"1001","LG","LV","LVA",428,"Latvia",6205,2301793,150,154,25.641,56.858," MEINHARD OF LATVIA ",2,90
"19214","SZ","CH","CHE",756,"Switzerland",4000,7424389,150,155,7.908,46.861," MEINRAD ",22,577
"19215","SZ","CH","CHE",756,"Switzerland",4000,7424389,150,155,7.908,46.861," MEL ",22,378
"19216","SZ","CH","CHE",756,"Switzerland",4000,7424389,150,155,7.908,46.861," MELANGELL MONACELLA ",22,NA
"206199","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," MELLITUS ",302,438
"4913","EG","EG","EGY",818,"Egypt",99545,72849793,2,15,29.872,26.494," MENNAS ",26,325
"4914","EG","EG","EGY",818,"Egypt",99545,72849793,2,15,29.872,26.494," MEREWENNA ",26,603
"6495","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," MERIASEK MERIADOC ",134,402
"5075","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," MEUBRED MYBARD ",93,382
"6496","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," MEWAN MEEN ",134,402
"84","IS","IL","ISR",376,"Israel",2171,6692037,142,145,34.851,31.026," MICHAEL ",1,4
"732","GR","GR","GRC",300,"Greece",12890,11099737,150,39,21.766,39.666," MICHAEL ",4,4
"206200","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," MICHAEL ",302,4
"883","JA","JP","JPN",392,"Japan",36450,127896740,142,30,139.068,36.491," MIKI PAUL AND COMPANIONS ",7,186
"5076","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," MOCHTA MOCHUTA ",93,369
"5077","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," MODOMNOC ",93,402
"5078","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," MODWENNA ",93,459
"206201","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," MODWENNA ",302,459
"18747","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," MOLAS Y VALLVE MARY ROSE ",70,272
"5079","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," MOLUAG LUGAID MOLLOCH  ",93,420
"6497","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," MORE THOMAS ",134,161
"206202","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," MORE THOMAS ",302,161
"7142","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," MORE THOMAS ",65,161
"206203","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," MORSE HENRY ",302,212
"206204","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," MYLOR MELOR MELAR ",302,NA
"206205","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," NEOT ",302,586
"6498","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," NERI PHILIP ",134,185
"8560","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," NICETIUS OF TRIER ",87,406
"18748","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," NICETIUS OF TRIER ",70,406
"2011","TU","TR","TUR",792,"Turkey",76963,72969723,142,145,35.179,39.061," NICHOLAS ",2,342
"1745","RS","RU","RUS",643,"Russia",1638094,143953092,150,151,96.689,61.988," NICHOLAS ",13,342
"206206","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," NICHOLAS ",302,342
"19019","SW","SE","SWE",752,"Sweden",41033,9038049,150,154,15.27,62.011," NICHOLAS NILS HERMANSSON ",26,139
"19217","SZ","CH","CHE",756,"Switzerland",4000,7424389,150,155,7.908,46.861," NICHOLAS OF FLUE ",22,157
"448","DA","DK","DNK",208,"Denmark",4243,5416945,150,154,9.264,56.058," NINIAN NYNIA ",16,369
"449","DA","DK","DNK",208,"Denmark",4243,5416945,150,154,9.264,56.058," NINNOC GWENGUSTLE ",16,NA
"6499","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," NORBERT ",134,63
"7143","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," NORBERT ",65,63
"8561","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," NORBERT ",87,63
"64100","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," ODA ODO ",134,605
"206207","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," ODA ODO ",302,605
"5080","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," ODA ODO ",93,605
"8562","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," ODILO ",87,27
"18749","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," ODILO ",70,27
"64101","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," ODO OF CLUNY ",134,602
"206208","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," ODO OF CLUNY ",302,602
"8563","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," ODO OF CLUNY ",87,602
"64102","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," ODRAN OTTERAN OF IONA ",134,408
"206209","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," ODRAN OTTERAN OF IONA ",302,408
"8564","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," ODRAN OTTERAN OF IONA ",87,408
"1286","BE","BE","BEL",56,"Belgium",0,10398049,150,155,4.664,50.643," ODULF ",8,575
"5081","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," OENGUS THE CULDEE ",93,569
"206210","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," OFFA OF ESSEX ",302,502
"64103","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," OGILVIE JOHN ",134,198
"5620","AU","AT","AUT",40,"Austria",8245,8291979,150,155,14.912,47.683," OGILVIE JOHN ",24,198
"206211","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," OLAF OLAVE OLA TOLA ",302,21
"15412","NO","NO","NOR",578,"Norway",30625,4638836,150,154,8.74,61.152," OLAF OLAVE OLA TOLA ",18,21
"4410","DA","DK","DNK",208,"Denmark",4243,5416945,150,154,9.264,56.058," OLAF OLAVE OLA TOLA ",16,21
"206212","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," OLGA ",302,607
"15413","NO","NO","NOR",578,"Norway",30625,4638836,150,154,8.74,61.152," OLGA ",18,607
"4411","DA","DK","DNK",208,"Denmark",4243,5416945,150,154,9.264,56.058," OLGA ",16,607
"206213","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," OSBURGA ",302,17
"18750","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," OSMANNA ",70,NA
"206214","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," OSMUND OSMER ",302,49
"5082","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," OSWALD ",93,452
"206215","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," OSWALD ",302,452
"16512","PO","PT","PRT",620,"Portugal",9150,10528226,150,39,-8.058,40.309," OSWALD ",15,452
"7144","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," OSWALD ",65,452
"5621","AU","AT","AUT",40,"Austria",8245,8291979,150,155,14.912,47.683," OSWALD ",24,452
"206216","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," OSWALD ",302,615
"206217","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," OSWIN OSWINI ",302,460
"206218","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," OUDOCEUS ",302,433
"206219","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," OWEN NICHOLAS ",302,190
"206220","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," PAINE JOHN ",302,176
"206221","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," PALLADIUS ",302,369
"5083","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," PALLADIUS ",93,369
"8565","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," PALLOTTI VINCENT ",87,259
"203","BR","BR","BRA",76,"Brazil",845942,186830759,19,5,-53.089,-10.772," PALLOTTI VINCENT ",5,259
"83","AS","AU","AUS",36,"Australia",768230,20310208,9,53,136.189,-24.973," PALLOTTI VINCENT ",4,259
"206222","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," PANCRAS OF ROME ",302,360
"206223","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," PANCRAS OF TAORMINA ",302,6
"673","GG","GE","GEO",268,"Georgia",6949,4473409,142,145,43.518,42.176," PANCRAS OF TAORMINA ",4,6
"7145","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," PANTALEON PANTELEIMON ",65,328
"160","PA","PY","PRY",600,"Paraguay",39730,5904342,19,5,-58.391,-23.236," PARAGUAY MARTYRS OF ",2,206
"204","BR","BR","BRA",76,"Brazil",845942,186830759,19,5,-53.089,-10.772," PARAGUAY MARTYRS OF ",5,206
"72","AR","AR","ARG",32,"Argentina",273669,38747148,19,5,-65.167,-35.377," PARAGUAY MARTYRS OF ",3,206
"884","JA","JP","JPN",392,"Japan",36450,127896740,142,30,139.068,36.491," PAREDES MARIANA OF QUITO ",7,212
"5084","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," PATRICK ",93,369
"206224","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," PATRICK ",302,369
"2082","US","US","USA",840,"United States",915896,299846449,19,21,-98.606,39.622," PATRICK ",4,369
"86","AS","AU","AUS",36,"Australia",768230,20310208,9,53,136.189,-24.973," PATRICK ",4,369
"733","GR","GR","GRC",300,"Greece",12890,11099737,150,39,21.766,39.666," PAUL ",4,458
"18751","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," PAUL ",70,458
"8566","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," PAUL OF THE CROSS ",87,243
"206225","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," PAUL OF THE CROSS ",302,243
"4915","EG","EG","EGY",818,"Egypt",99545,72849793,2,15,29.872,26.494," PAUL THE FIRST HERMIT OF THEBES ",26,339
"4916","EG","EG","EGY",818,"Egypt",99545,72849793,2,15,29.872,26.494," PAULA ",26,356
"8567","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," PAULINUS OF NOLA ",87,363
"18752","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," PAULINUS OF NOLA ",70,363
"64104","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," PAULINUS OF NOLA ",134,363
"206226","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," PAULINUS OF YORK ",302,453
"4917","EG","EG","EGY",818,"Egypt",99545,72849793,2,15,29.872,26.494," PELAGIA ",26,369
"13811",NA,"PS","PSE",275,"Palestine",0,3762005,142,145,35.278,32.037," PELAGIA ",16,369
"4918","EG","EG","EGY",818,"Egypt",99545,72849793,2,15,29.872,26.494," PELAGIA OF ANTIOCH ",26,331
"13812",NA,"PS","PSE",275,"Palestine",0,3762005,142,145,35.278,32.037," PELAGIA OF ANTIOCH ",16,331
"4919","EG","EG","EGY",818,"Egypt",99545,72849793,2,15,29.872,26.494," PELLEGRINO LAZIOSI ",26,131
"13813",NA,"PS","PSE",275,"Palestine",0,3762005,142,145,35.278,32.037," PELLEGRINO LAZIOSI ",16,131
"297","CH","CN","CHN",156,"China",932743,1312978855,142,30,106.514,33.42," PERBOYRE JOHN GABRIEL ",12,255
"298","CH","CN","CHN",156,"China",932743,1312978855,142,30,106.514,33.42," PEREGRINE OF AUXERRE ",12,314
"299","CH","CN","CHN",156,"China",932743,1312978855,142,30,106.514,33.42," PERPETUA AND FELICITAS FELICITY ",12,301
"206227","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," PETER ",302,450
"18753","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," PETER OF ALCANTARA ",70,170
"207","BR","BR","BRA",76,"Brazil",845942,186830759,19,5,-53.089,-10.772," PETER OF ALCANTARA ",5,170
"206228","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," PETER OF CANTERBURY ",302,428
"8568","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," PETER OF TARENTAISE ",87,80
"206229","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," PETER OF TARENTAISE ",302,80
"64105","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," PETER OF TARENTAISE ",134,80
"8021","HU","HU","HUN",348,"Hungary",9210,10086387,150,151,19.134,47.07," PETER CELESTINE CELESTINE V ",25,122
"64106","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," PETER CELESTINE CELESTINE V ",134,122
"8569","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," PETER CELESTINE CELESTINE V ",87,122
"8570","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," PETER DAMIAN ",87,35
"7146","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," PETER DAMIAN ",65,35
"64107","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," PETER DAMIAN ",134,35
"18754","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," PETER NOLASCO ",70,109
"8571","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," PETER THE MARTYR OF VERONA ",87,106
"206230","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," PETROC ",302,402
"64108","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," PETRONILLA ",134,NA
"8572","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," PHILIP BENIZI ",87,119
"64109","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," PHILIP BENIZI ",134,119
"7147","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," PHILIP BENIZI ",65,119
"18755","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," PIGNATELLI JOSEPH ",70,248
"8573","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," PIGNATELLI JOSEPH ",87,248
"1746","RS","RU","RUS",643,"Russia",1638094,143953092,150,151,96.689,61.988," PIGNATELLI JOSEPH ",13,248
"5085","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," PIRAN PERRAN ",93,377
"19218","SZ","CH","CHE",756,"Switzerland",4000,7424389,150,155,7.908,46.861," PIRMIN ",22,537
"8574","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," PIUS V ",87,513
"18756","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," PIUS V ",70,513
"206231","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," PIUS V ",302,513
"5622","AU","AT","AUT",40,"Austria",8245,8291979,150,155,14.912,47.683," PIUS V ",24,513
"64110","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," PIUS X ",134,287
"18757","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," PLACID ",70,402
"206232","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," PLASDEN POLYDORE OLIVER PALMER ",302,182
"206233","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," PLECHELM PLEGHELM ",302,534
"18758","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," PLESSINGTON JOHN WILLIAM SCARISBRICK ",70,221
"206234","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," PLESSINGTON JOHN WILLIAM SCARISBRICK ",302,221
"5086","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," PLUNKET OLIVER ",93,223
"4920","EG","EG","EGY",818,"Egypt",99545,72849793,2,15,29.872,26.494," PONTIAN AND HIPPOLYTUS ",26,306
"1612","PE","PE","PER",604,"Peru",128000,27274266,19,5,-75.552,-9.326," PORRES MARTIN DE ",7,208
"4921","EG","EG","EGY",818,"Egypt",99545,72849793,2,15,29.872,26.494," POTAMIAENA AND BASILIDES ",26,302
"64111","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," PROSPER OF AQUITAINE ",134,373
"4922","EG","EG","EGY",818,"Egypt",99545,72849793,2,15,29.872,26.494," PROTUS AND HYACINTH ",26,342
"7148","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," QUENBURGA COENBURGA ",65,524
"7149","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," QUENTIN ",65,NA
"64112","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," RADEGUND ",134,418
"206235","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," RADEGUND ",302,418
"206236","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," RAPHAEL ",302,3
"11","AG","DZ","DZA",12,"Algeria",238174,32854159,2,15,2.632,28.163," RAYMUND NONNATUS ",4,101
"18759","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," RAYMUND NONNATUS ",70,101
"18760","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," RAYMUND OF PENNAFORT ",70,116
"64113","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," REGIS JOHN FRANCIS ",134,209
"206237","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," REMIGIUS REMI ",302,392
"19020","SW","SE","SWE",752,"Sweden",41033,9038049,150,154,15.27,62.011," REYNOLDS RICHARD ",26,161
"206238","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," REYNOLDS RICHARD ",302,161
"7150","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," RICHARD ",65,514
"206239","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," RIGBY JOHN ",302,188
"206240","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," RIQUIER RICHARIUS ",302,454
"64114","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," RIQUIER RICHARIUS ",134,454
"8575","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," RITA OF CASCIA ",87,148
"18761","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," RITA OF CASCIA ",70,148
"64115","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," RITA OF CASCIA ",134,148
"172","RP","PH","PHL",608,"Philippines",29817,84566163,142,35,122.466,11.118," RITA OF CASCIA ",2,148
"2083","US","US","USA",840,"United States",915896,299846449,19,21,-98.606,39.622," RITA OF CASCIA ",4,148
"8022","HU","HU","HUN",348,"Hungary",9210,10086387,150,151,19.134,47.07," ROBERT OF KNARESBOROUGH ",25,95
"206241","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," ROBERT OF KNARESBOROUGH ",302,95
"8023","HU","HU","HUN",348,"Hungary",9210,10086387,150,151,19.134,47.07," ROBERT OF MOLESME ",25,54
"206242","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," ROBERT OF MOLESME ",302,54
"206243","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," ROBERTS JOHN ",302,194
"7151","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," ROCH ROCCO ROCK ",65,137
"64116","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," ROCH ROCCO ROCK ",134,137
"7152","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," RODRIGUEZ ALPHONSUS ",65,200
